A4GALT	A4GNT	0.0191	0.0432	0.0643
A4GALT	AAAS	0.0202	0.0335	0.0298
A4GALT	AACS	0.0215	0.0407	0.0444
A4GALT	AADAC	0.0273	0.0345	0.0917
A4GALT	AADAT	0.0172	0.0367	0.0576
A4GALT	AAK1	0.0144	0.0324	0.0355
A4GALT	AAMDC	0.0307	0.0194	0.0506
A4GALT	AAMP	0.0398	0.0430	0.0525
A4GALT	AANAT	0.0369	0.0783	0.0670
A4GNT	AAAS	0.0238	0.0490	0.0321
A4GNT	AACS	0.0275	0.0426	0.0479
A4GNT	AADAC	0.0392	0.0444	0.0634
A4GNT	AADAT	0.0339	0.0473	0.0332
A4GNT	AAK1	0.0473	0.0210	0.0499
A4GNT	AAMDC	0.0237	0.0411	0.0605
A4GNT	AAMP	0.0424	0.0602	0.0526
A4GNT	AANAT	0.0702	0.0750	0.0593
AAAS	AACS	0.0293	0.0217	0.0518
AAAS	AADAC	0.0205	0.0386	0.0836
AAAS	AADAT	0.0373	0.0412	0.0524
AAAS	AAK1	0.0243	0.0365	0.0436
AAAS	AAMDC	0.0166	0.0299	0.0480
AAAS	AAMP	0.0444	0.0595	0.0496
AAAS	AANAT	0.0567	0.0502	0.0647
AACS	AADAC	0.0334	0.0146	0.0605
AACS	AADAT	0.0520	0.0299	0.0472
AACS	AAK1	0.0187	0.0094	0.0323
AACS	AAMDC	0.0290	0.0161	0.0341
AACS	AAMP	0.0489	0.0292	0.0537
AACS	AANAT	0.0615	0.0322	0.0704
AADAC	AADAT	0.0483	0.0477	0.0642
AADAC	AAK1	0.0420	0.0249	0.0416
AADAC	AAMDC	0.0284	0.0215	0.0569
AADAC	AAMP	0.0436	0.0273	0.0660
AADAC	AANAT	0.0625	0.0569	0.0598
AADAT	AAK1	0.0346	0.0465	0.0324
AADAT	AAMDC	0.0352	0.0590	0.0250
AADAT	AAMP	0.0652	0.0596	0.0482
AADAT	AANAT	0.0633	0.0640	0.0430
AAK1	AAMDC	0.0180	0.0188	0.0310
AAK1	AAMP	0.0401	0.0523	0.0577
AAK1	AANAT	0.0470	0.0434	0.0468
AAMDC	AAMP	0.0452	0.0410	0.0601
AAMDC	AANAT	0.0831	0.0341	0.0470
AAMP	AANAT	0.0772	0.0694	0.0780
