A4GALT	AAMP	0.0404	0.0533	0.0436
A4GALT	AANAT	0.0375	0.0680	0.0795
A4GNT	AADAC	0.0398	0.0643	0.0451
A4GNT	AAMP	0.0430	0.0534	0.0611
A4GNT	AANAT	0.0712	0.0602	0.0761
AAAS	AADAT	0.0378	0.0531	0.0418
AAAS	AAMP	0.0450	0.0503	0.0604
AAAS	AANAT	0.0575	0.0656	0.0509
AADAC	AADAT	0.0490	0.0651	0.0484
AADAC	AANAT	0.0634	0.0606	0.0577
AADAT	AAMP	0.0662	0.0489	0.0604
AADAT	AANAT	0.0642	0.0437	0.0649
AAK1	AAMP	0.0407	0.0585	0.0531
AAK1	AANAT	0.0477	0.0474	0.0440
AAMDC	AAMP	0.0458	0.0610	0.0416
AAMP	AANAT	0.0784	0.0792	0.0704
